date,nifty_market,size,value,momentum,quality,low_vol
2020-01-06,0.013624,0.039195,-0.029433,-0.012523,0.017853,0.00746
2020-01-13,-0.00098,-0.034338,-0.005124,0.027658,-0.015987,0.01387
2020-01-20,0.017097,-0.001932,0.000795,0.032751,0.009564,-0.003379
2020-01-27,0.03723,0.01139,0.027323,-0.011056,0.011016,-0.009071
2020-02-03,-0.003186,0.005858,0.005731,-0.016812,-0.002966,-0.011538
2020-02-10,-0.003185,-0.010409,-0.003006,0.011871,0.02046,-0.022596
2020-02-17,0.038522,-0.002946,0.01377,-0.010649,-0.000901,0.025674
2020-02-24,0.019851,-0.008074,-0.034878,0.015424,0.002958,-0.012239
2020-03-02,-0.008598,-0.009809,0.00427,0.005964,-0.001223,-0.001655
2020-03-09,0.014679,0.016093,0.012834,-0.031846,0.001418,-0.002322
2020-03-16,-0.008459,0.007226,-0.023157,0.035545,-0.014148,0.004689
2020-03-23,-0.008512,-0.011672,0.0188,0.041009,-0.018961,0.010789
2020-03-30,0.007765,0.016993,0.005916,-0.011981,0.023523,0.011326
2020-04-06,-0.041805,0.006331,-0.006145,-0.007029,-0.010657,-0.005997
2020-04-13,-0.037473,0.015432,0.010625,0.007789,-0.012679,-0.001005
2020-04-20,-0.010733,0.012133,0.036831,0.008858,-0.028947,0.004391
2020-04-27,-0.021095,-0.014122,0.00341,0.015988,-0.007745,-0.001984
2020-05-04,0.009428,-0.009283,0.004472,0.045724,-0.017323,0.020288
2020-05-11,-0.018685,0.014251,-0.00685,-0.002393,0.024188,0.006892
2020-05-18,-0.030283,0.011787,-0.013098,-0.016063,0.015337,0.009819
2020-05-25,0.03591,0.000424,0.013785,-0.028845,-0.008434,0.008955
2020-06-01,-0.002993,0.002912,-0.013197,-0.01458,0.032734,0.015082
2020-06-08,0.003753,0.023798,0.001645,0.000771,0.014945,0.003172
2020-06-15,-0.030569,-0.009848,-0.007143,0.04098,-0.003348,-0.014562
2020-06-22,-0.010321,0.010648,0.008164,-0.009887,-0.033792,0.005796
2020-06-29,0.004751,-0.002839,0.005839,0.006423,0.033273,-0.006816
2020-07-06,-0.024273,-0.003118,0.017101,0.001139,-0.018254,-0.005343
2020-07-13,0.010841,0.020578,-0.00766,0.027645,-0.021836,0.008036
2020-07-20,-0.011615,0.015657,-0.003818,0.057093,0.015516,0.015859
2020-07-27,-0.004509,0.015443,-0.01516,-0.010179,0.035357,0.001255
2020-08-03,-0.011639,0.024299,-0.006609,-0.009268,0.02058,0.004706
2020-08-10,0.044802,0.001178,0.006537,0.024472,0.009095,0.021427
2020-08-17,0.00189,0.013075,0.012612,0.016502,0.009527,0.003889
2020-08-24,-0.022127,-0.004785,-0.014255,0.042128,0.013148,0.03222
2020-08-31,0.021119,0.006635,0.014414,0.014346,0.011825,0.007786
2020-09-07,-0.025879,-0.001543,0.02219,-0.006404,0.005137,-0.020129
2020-09-14,0.007004,0.002546,0.007115,0.014494,0.002659,0.01004
2020-09-21,-0.042872,0.011513,0.030529,0.025891,0.000324,0.005574
2020-09-28,-0.028348,-0.013928,-0.011881,0.019551,-0.009356,0.016477
2020-10-05,0.006728,0.038463,-0.019414,0.01266,-0.002729,0.009078
2020-10-12,0.019185,-0.017308,-0.02796,0.024967,-0.022501,-0.000661
2020-10-19,0.006141,-0.021055,0.024437,0.027225,-0.000177,-0.013692
2020-10-26,-0.00046,0.021646,0.01097,0.031907,-0.01264,-0.001508
2020-11-02,-0.004725,0.01505,-0.000389,0.015772,-0.01425,-0.009206
2020-11-09,-0.031806,0.012034,0.004979,-0.002177,0.003719,-0.005966
2020-11-16,-0.014356,0.01211,-0.017508,0.004728,0.020688,0.008063
2020-11-23,-0.008395,0.00058,0.039632,0.028043,0.014056,0.021039
2020-11-30,0.026514,-0.015351,0.002568,-0.016473,-0.020787,0.005736
2020-12-07,0.010103,0.002164,0.00225,0.009611,-0.012655,-0.013351
2020-12-14,-0.03835,-0.011389,0.012112,-0.007153,0.014371,0.006335
2020-12-21,0.009654,0.018352,0.008196,0.002132,-0.012555,0.01536
2020-12-28,-0.006657,-0.001847,0.004082,0.029626,-0.001945,-0.006317
2021-01-04,-0.013369,-0.014059,-0.012148,0.005704,0.008901,-0.000608
2021-01-11,0.016269,-0.004985,0.008043,0.002522,-0.012357,0.001176
2021-01-18,0.025913,0.008233,0.030612,-0.028417,0.002675,-0.008419
2021-01-25,0.023619,-0.009347,0.022027,0.017918,-0.017476,0.008779
2021-02-01,-0.017102,-0.014,0.025991,0.015701,-0.007219,-0.000451
2021-02-08,-0.004912,0.005186,-0.007679,0.049092,0.005677,0.006034
2021-02-15,0.009819,0.005209,-0.015334,-0.005271,-0.021102,-0.00965
2021-02-22,0.024638,-0.008325,-0.001513,0.006321,0.007367,-0.004249
2021-03-01,-0.008821,-0.007679,0.001392,0.006986,0.000925,0.009669
2021-03-08,-0.00207,0.004977,0.018007,0.036204,0.008935,-0.003474
2021-03-15,-0.023246,-0.025266,-0.026579,-0.000597,0.004335,0.021724
2021-03-22,-0.025313,-0.024534,0.024973,0.007638,0.020298,-0.003796
2021-03-29,0.020888,-0.012132,-0.002028,0.014874,0.002953,0.003696
2021-04-05,0.033394,-0.003042,-0.00633,0.005605,-0.004812,0.012191
2021-04-12,0.000544,0.006396,-0.015694,-0.008322,0.002912,-0.01602
2021-04-19,0.025281,0.027356,-0.025978,0.00577,0.008806,-0.02013
2021-04-26,0.010518,0.016238,0.013671,0.02512,0.001884,-0.017308
2021-05-03,-0.012638,-0.002079,0.001673,-0.021083,0.001768,0.016151
2021-05-10,0.010512,0.000458,-0.020139,0.004425,-0.008628,-0.005622
2021-05-17,0.037575,-0.017246,-0.020221,-0.013903,-0.008081,0.031698
2021-05-24,0.001376,0.000467,-0.004873,0.027791,-0.018436,-0.005771
2021-05-31,0.038187,-0.004396,0.027204,-0.03201,0.025694,0.003215
2021-06-07,-0.058054,0.006609,-0.003653,-0.010796,-0.016214,0.019505
2021-06-14,0.021104,-0.01409,-0.02355,0.009799,-0.008501,0.025073
2021-06-21,0.004202,0.010148,-0.003432,0.035942,-0.008858,0.025738
2021-06-28,-0.004677,0.028389,-0.003864,5.3e-05,0.013729,0.0155
2021-07-05,0.00431,-0.001158,-0.04265,-0.010714,-0.002929,0.013289
2021-07-12,-0.043514,0.008031,-0.000369,0.042885,0.018668,0.00811
